observation_id,period,period_end,metric_name,value_decimal,unit,definition_family,original_or_recast,source_id,published_at_utc,evidence_locator,evidence_note,reviewer_status
OBS-2023Q3-REV-ORIG,2023-Q3,2023-09-30,consumer_transaction_revenue,274.5,USD_millions,REV-PRE-2024Q1,original,SRC-Q3-2023,2023-11-02T20:05:49Z,"Total Revenue ($M) table and Q3 consumer transaction revenue narrative","Narrative rounds to $275 million; table reports $274.5 million.",reviewed
OBS-2023Q3-VOL-ORIG,2023-Q3,2023-09-30,consumer_trading_volume,11,USD_billions,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q3-2023,2023-11-02T20:05:49Z,"Q3 consumer transaction revenue narrative / Trading Volume ($B) table","Matched spot volume; reported whole billions.",reviewed
OBS-2023Q4-REV-ORIG,2023-Q4,2023-12-31,consumer_transaction_revenue,492.5,USD_millions,REV-PRE-2024Q1,original,SRC-Q4-2023,2024-02-15T21:06:47Z,"Total Revenue ($M) table and Q4 consumer transaction revenue narrative","Narrative rounds to $493 million; includes revenue later moved to other transaction revenue.",reviewed
OBS-2023Q4-VOL-ORIG,2023-Q4,2023-12-31,consumer_trading_volume,29,USD_billions,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q4-2023,2024-02-15T21:06:47Z,"Full-Year Trading Volume ($B) table and Q4 narrative","Matched spot volume; reported whole billions.",reviewed
OBS-2023Q3-REV-RECAST,2023-Q3,2023-09-30,consumer_transaction_revenue,247.0,USD_millions,REV-POST-2024Q1,recast,SRC-Q1-2024,2024-05-02T20:02:51Z,"Total Revenue ($M) table","Recast removes Base and payment-related revenue; unavailable at the original Q3 2023 publication cutoff.",reviewed
OBS-2023Q4-REV-RECAST,2023-Q4,2023-12-31,consumer_transaction_revenue,468.9,USD_millions,REV-POST-2024Q1,recast,SRC-Q1-2024,2024-05-02T20:02:51Z,"Total Revenue ($M) table","Recast removes Base and payment-related revenue; unavailable at the original Q4 2023 publication cutoff.",reviewed
OBS-2024Q1-REV-ORIG,2024-Q1,2024-03-31,consumer_transaction_revenue,935.2,USD_millions,REV-POST-2024Q1,original,SRC-Q1-2024,2024-05-02T20:02:51Z,"Total Revenue ($M) table","First current-quarter observation under the post-reclassification presentation.",reviewed
OBS-2024Q1-VOL-ORIG,2024-Q1,2024-03-31,consumer_trading_volume,56,USD_billions,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q1-2024,2024-05-02T20:02:51Z,"Trading Volume ($B) table and Q1 narrative","Matched spot volume; reported whole billions.",reviewed
OBS-2024Q2-REV-ORIG,2024-Q2,2024-06-30,consumer_transaction_revenue,664.8,USD_millions,REV-POST-2024Q1,original,SRC-Q2-2024,2024-08-01T20:12:12Z,"Total Revenue ($M) table and Q2 narrative","Narrative rounds to $665 million.",reviewed
OBS-2024Q2-VOL-ORIG,2024-Q2,2024-06-30,consumer_trading_volume,37,USD_billions,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q2-2024,2024-08-01T20:12:12Z,"Trading Volume ($B) table and Q2 narrative","Letter says some consumer revenue is not directly associated with reported spot volume.",reviewed
OBS-2024Q3-REV-ORIG,2024-Q3,2024-09-30,consumer_transaction_revenue,483.3,USD_millions,REV-POST-2024Q1,original,SRC-Q3-2024,2024-10-30T20:10:05Z,"Total Revenue ($M) table and Q3 narrative","Narrative rounds to $483 million.",reviewed
OBS-2024Q3-VOL-ORIG,2024-Q3,2024-09-30,consumer_trading_volume,34,USD_billions,VOL-SPOT-MATCHED-PRE-2025Q4,original,SRC-Q3-2024,2024-10-30T20:10:05Z,"Trading Volume ($B) table and Q3 narrative","Matched spot volume; reported whole billions.",reviewed
OBS-2024Q4-REV-ORIG,2024-Q4,2024-12-31,consumer_transaction_revenue,1347.1,USD_millions,REV-POST-2024Q1,original,SRC-Q4-2024,2025-02-13T21:10:21Z,"Total Revenue ($M) table and Q4 narrative","Narrative rounds to $1.3 billion.",reviewed
